Row,i,lambda_i,theta_i
0,0,5.557766,16.000000
1,1,3.642720,9.000000
2,2,2.660214,8.000000
3,3,2.170086,6.000000
4,4,1.443189,5.000000
5,5,1.379930,5.000000
6,6,1.231761,5.000000
7,7,1.000000,4.000000
8,8,0.362917,4.000000
9,9,0.353389,4.000000
10,10,0.332257,4.000000
11,11,0.311108,3.000000
12,12,0.200047,3.000000
13,13,0.186800,3.000000
14,14,0.134076,3.000000
15,15,-0.000000,2.000000
16,16,-1.000000,2.000000
17,17,-1.000000,2.000000
18,18,-1.000000,2.000000
19,19,-1.000000,2.000000
20,20,-1.000000,1.000000
21,21,-1.000000,1.000000
22,22,-1.000000,1.000000
23,23,-1.000000,1.000000
24,24,-1.369352,1.000000
25,25,-1.381609,1.000000
26,26,-1.417085,0.000000
27,27,-1.481194,0.000000
28,28,-1.838873,-0.000000
29,29,-2.181230,-0.000000
30,30,-3.296916,-0.000000
END
